fecha;hora;ad_name;ad_set_name;campanya;impresiones;clics;leads;inversion
2019-03-19;3;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;24;4;0;0.09
2019-03-24;15;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;632;28;0;2.01
2019-03-24;8;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;476;16;0;1.53
2019-03-24;16;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;608;30;0;1.86
2019-03-23;13;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;222;11;0;1
2019-03-24;9;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;460;20;0;1.55
2019-03-18;9;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;108;26;0;1.55
2019-03-21;15;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;489;27;0;1.71
2019-03-23;9;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;829;37;0;2.54
2019-03-24;20;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;759;23;0;1.83
2019-03-22;0;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;692;22;0;2.15
2019-03-19;6;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;265;17;0;0.84
2019-03-21;8;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;299;21;0;1.31
2019-03-21;9;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;317;14;0;1.4
2019-03-24;18;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;624;16;0;1.5
2019-03-18;17;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;301;26;0;1.5
2019-03-21;7;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;195;14;0;0.75
2019-03-20;8;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;382;25;0;1.19
2019-03-22;11;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;198;5;0;0.66
2019-03-19;1;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;57;5;0;0.21
2019-03-23;7;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;190;9;0;0.69
2019-03-18;7;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;49;20;0;0.73
2019-03-24;7;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;237;13;0;0.8
2019-03-24;10;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;426;17;0;1.23
2019-03-24;17;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;591;14;0;1.64
2019-03-21;22;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;738;30;0;2.67
2019-03-21;18;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;436;15;0;1.52
2019-03-22;18;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;536;23;0;1.91
2019-03-23;17;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;433;20;0;1.55
2019-03-19;8;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;303;17;0;0.95
