date, pm25, pm10, o3, no2, so2, co
2025/3/27, 44, 27, 28, 8, 1, 
2025/3/28, 47, 26, 41, 3, 1, 
2025/3/29, 24, 12, 38, 6, 1, 
2025/3/30, 29, 35, 32, 14, 1, 
2025/3/31, 53, 34, 43, 7, 1, 
2024/10/1, 27, 47, 18, 11, 2, 
2024/10/2, 35, 20, 27, 7, 2, 
2024/10/3, 24, 34, 28, 10, 1, 
2024/10/4, 30, 13, 39, 5, 1, 
2024/10/5, 28, 26, 7, 7, 1, 
2024/10/6, 52, 21, 22, 7, 1, 
2024/10/7, 54, 23, 23, 11, 1, 
2024/10/8, 21, 12, 27, , 1, 
2024/10/9, 19, 29, 22, 6, 1, 
2024/10/10, 18, 33, 31, 9, 1, 
2024/10/11, 43, 16, 35, 7, 1, 
2024/10/12, 54, 8, 24, 5, 1, 
2024/10/13, 27, 17, 29, 5, 1, 
2024/10/14, 42, 18, 25, 5, 1, 
2024/10/15, 51, 19, 21, 9, 1, 
2024/10/16, 53, 15, 25, 6, 1, 
2024/10/17, 18, 18, 26, 7, , 
2024/10/18, 18, 7, 23, 6, 1, 
2024/10/19, 19, 9, 28, 5, 1, 
2024/10/20, 30, 14, 35, 4, 1, 
2024/10/21, 36, 18, 36, 1, 1, 
2024/10/22, 28, 6, , 4, 1, 
2024/10/23, 27, 15, , 7, 1, 
2024/10/24, 44, 18, , 8, 1, 
2024/10/25, 52, , , 3, 1, 
2024/10/28, 23, 13, 30, , 1, 
2024/10/29, 45, 45, 30, 4, 1, 
2024/10/30, 97, 38, 26, 2, 1, 
2024/10/31, 71, 20, 40, 1, 1, 
2024/11/1, 46, , , , , 
2024/11/4, 61, 46, 18, 10, 1, 
2024/11/5, 82, 35, 26, 6, 1, 
2024/11/6, 77, 26, 28, 6, 1, 
2024/11/7, 60, 36, 18, 10, 1, 
2024/11/8, 64, 32, 15, 8, 1, 
2024/11/9, 67, 26, 21, 7, 1, 
2024/11/10, 48, 33, 16, 10, 1, 
2024/11/11, 47, 43, 30, 9, 1, 
2024/11/12, 55, 9, 28, 6, , 
2024/11/13, 20, 11, 29, 2, , 
2024/11/14, 41, 16, 26, 9, 1, 
2024/11/15, 45, 18, 20, 7, 1, 
2024/11/16, 51, 23, 16, 7, 1, 
2024/11/17, 54, 34, 8, 10, 1, 
2024/11/18, 68, 41, 16, 9, 1, 
2024/11/19, 64, 51, 17, 7, 1, 
2024/11/20, 58, 42, 26, 4, 1, 
2024/11/21, 34, 28, 26, 9, 1, 
2024/11/22, 31, 14, 24, 7, 1, 
2024/11/23, 37, 13, 30, 4, 1, 
2024/11/24, 45, 36, 12, 12, 1, 
2024/11/25, 78, 28, 18, 12, 1, 
2024/11/26, 44, 27, 12, 12, 1, 
2024/11/27, 58, 31, 18, 9, 1, 
2024/11/28, 66, 28, 3, 13, 1, 
2024/11/29, 75, 32, 19, 10, 1, 
2024/11/30, 89, 31, 20, 6, 1, 
2024/12/1, 85, 48, 3, 14, 1, 
2024/12/2, 95, 25, 14, 10, 1, 
2024/12/3, 63, 25, 12, 11, , 
2024/12/4, 52, 36, 8, 17, 1, 
2024/12/5, 46, 13, 18, 6, 1, 
2024/12/6, 25, 16, 28, 3, 1, 
2024/12/7, 26, 17, 31, 1, 1, 
2024/12/8, 17, 18, 23, 4, 1, 
2024/12/9, 17, 35, 22, 14, 1, 
2024/12/10, 42, 12, 14, 8, 1, 
2024/12/11, 30, 16, 15, 9, 1, 
2024/12/12, 38, 29, 18, 11, 1, 
2024/12/13, 56, 13, 19, 9, 1, 
2024/12/14, 36, 10, 21, 8, 1, 
2024/12/15, 26, 26, 18, 12, 1, 
2024/12/16, 42, 32, 14, 13, 1, 
2024/12/17, 54, 46, 16, 13, 1, 
2024/12/18, 59, 66, 29, 5, 1, 
2024/12/19, 60, 35, 23, 12, 1, 
2024/12/20, 39, 19, 21, 12, 1, 
2024/12/21, 33, 12, 19, 5, 1, 
2024/12/22, 21, 62, 34, 2, 1, 
2024/12/23, 39, 23, 17, 12, 1, 
2024/12/24, 36, 7, 27, 6, 1, 
2024/12/25, 25, 21, 16, 12, 1, 
2024/12/26, 50, 20, 13, 12, 1, 
2024/12/27, 59, 17, 22, 7, 1, 
2024/12/28, 53, 13, 18, 8, 1, 
2024/12/29, 44, , , , , 
2024/7/1, 32, 12, 39, 5, 2, 
2024/7/2, 31, 19, 33, 6, 2, 
2024/7/3, 41, 20, 37, 6, 2, 
2024/7/4, 43, 15, 32, 4, 2, 
2024/7/5, 40, 15, 33, 2, 2, 
2024/7/6, 38, 16, 28, 1, 2, 
2024/7/7, 46, 19, 24, 3, 2, 
2024/7/8, 52, 20, 30, 2, 3, 
2024/7/9, 55, 25, 30, 5, 3, 
2024/7/10, 60, 28, 30, 4, 2, 
2024/7/11, 71, 22, 25, 3, 2, 
2024/7/12, 56, 18, 29, 1, 2, 
2024/7/13, 51, 19, 25, 1, 1, 
2024/7/14, 52, 30, 32, 5, 2, 
2024/7/15, 65, 26, 26, 5, 2, 
2024/7/16, 69, , , , , 
2024/7/18, 38, 18, 9, 11, 2, 
2024/7/19, 57, , , , , 
2024/7/22, 53, 26, 3, 20, 3, 
2024/7/23, 51, 26, 6, 15, 2, 
2024/7/24, 59, , , , , 
2024/7/26, 31, , , , , 
2024/7/30, 56, 22, 30, 7, 2, 
2024/7/31, 40, 23, 36, 6, 2, 
2024/8/1, 57, 27, 41, 4, 2, 
2024/8/2, 64, , , , , 
2024/8/5, 55, 15, 23, 1, 2, 
2024/8/6, 49, 14, 18, 2, 2, 
2024/8/7, 46, 16, 33, 3, 1, 
2024/8/8, 39, 17, 30, 5, 1, 
2024/8/9, 43, 13, 38, 4, 2, 
2024/8/10, 35, 11, 39, 2, 2, 
2024/8/11, 32, 13, 34, 3, 1, 
2024/8/12, 35, 16, 34, 2, 1, 
2024/8/13, 43, 14, 36, 5, 1, 
2024/8/14, 40, , , , , 
2024/8/19, 47, , , , , 
2024/8/23, 70, 18, 40, 2, 1, 
2024/8/24, 60, 19, 30, 1, 1, 
2024/8/25, 56, 14, 32, 2, 2, 
2024/8/26, 40, , , , , 
2024/8/30, 36, 12, 35, 1, 2, 
2024/8/31, 43, 12, 34, 1, 2, 
2024/9/1, 47, 16, 33, 7, 2, 
2024/9/2, 51, 16, 39, 4, 2, 
2024/9/3, 49, 10, 30, 9, 2, 
2024/9/4, 33, 9, 27, 4, 2, 
2024/9/5, 23, 15, 32, 6, 2, 
2024/9/6, 39, 16, 34, 3, 2, 
2024/9/7, 34, 11, 32, 4, 2, 
2024/9/8, 24, 15, 35, 5, 2, 
2024/9/9, 26, 19, 37, 4, 2, 
2024/9/10, 37, 21, 35, 3, 2, 
2024/9/11, 39, 34, 39, 4, 2, 
2024/9/12, 36, 9, 29, 2, 2, 
2024/9/13, 15, 10, 35, 2, 2, 
2024/9/14, 24, 10, 37, 4, 2, 
2024/9/15, 24, 24, 32, 9, 2, 
2024/9/16, 28, 18, 33, 4, 2, 
2024/9/17, 29, 15, 35, 5, 3, 
2024/9/18, 26, 8, 25, 7, 3, 
2024/9/19, 26, 11, 31, 6, 3, 
2024/9/20, 35, 8, 33, 2, 3, 
2024/9/21, 29, 11, 31, 2, 3, 
2024/9/22, 43, 24, 30, 8, 3, 
2024/9/23, 62, 32, 29, 9, 3, 
2024/9/24, 62, 23, 25, 7, 3, 
2024/9/25, 28, , , 5, , 
2024/9/27, 23, 6, 31, 4, 3, 
2024/9/28, 10, 9, 31, 2, 3, 
2024/9/29, 18, 12, 26, 12, 3, 
2024/9/30, 29, 16, 32, 5, 3, 
2024/4/1, 9, 12, 34, 7, 1, 
2024/4/2, 24, 15, 30, 10, 1, 
2024/4/3, 31, 23, 34, 12, 1, 
2024/4/4, 45, 28, 42, 10, 1, 
2024/4/5, 66, 25, 46, 6, 1, 
2024/4/6, 71, 34, 42, 3, 1, 
2024/4/7, 84, 35, 33, 6, 1, 
2024/4/8, 55, 21, 34, 4, 1, 
2024/4/9, 20, 32, 38, 8, 1, 
2024/4/10, 35, 28, 38, 11, 1, 
2024/4/11, 43, 30, 35, 12, 1, 
2024/4/12, 38, 24, 39, 13, 1, 
2024/4/13, 47, 22, 44, 6, 1, 
2024/4/14, 47, 46, 36, 19, 2, 
2024/4/15, 86, 36, 34, 10, 1, 
2024/4/16, 58, 29, 36, 5, 1, 
2024/4/17, 45, 24, 35, 7, 1, 
2024/4/18, 43, 22, 37, 6, 1, 
2024/4/19, 41, 13, 43, 5, 1, 
2024/4/20, 35, 10, 45, 2, 1, 
2024/4/21, 30, 17, 39, 2, 1, 
2024/4/22, 37, 25, 40, 4, 1, 
2024/4/23, 30, 38, 42, 4, 1, 
2024/4/24, 36, 21, 41, 6, 1, 
2024/4/25, 37, 28, 44, 4, 1, 
2024/4/26, 63, 19, 37, 5, 1, 
2024/4/27, 48, 9, 42, 3, 1, 
2024/4/28, 24, 11, 32, 8, 1, 
2024/4/29, 43, 15, 31, 7, 1, 
2024/4/30, 34, 6, 37, 1, 1, 
2024/5/1, 14, 13, 35, 4, 1, 
2024/5/2, 13, 26, 38, 8, 1, 
2024/5/3, 27, 16, 41, 8, 1, 
2024/5/4, 42, 17, 38, 6, 1, 
2024/5/5, 42, 19, 37, 5, 1, 
2024/5/6, 28, 16, 36, 6, 1, 
2024/5/7, 33, 23, 37, 5, 1, 
2024/5/8, 28, 28, 37, 7, 1, 
2024/5/9, 37, 26, 39, 10, 1, 
2024/5/10, 40, 10, 42, 4, 1, 
2024/5/11, 31, 11, 46, 2, 1, 
2024/5/12, 39, 18, 46, 5, 1, 
2024/5/13, 38, 18, 33, 6, 2, 
2024/5/14, 42, 17, 36, 4, 1, 
2024/5/15, 35, 37, 33, 6, 1, 
2024/5/16, 38, 36, 39, 9, 1, 
2024/5/17, 37, 16, 42, 1, 1, 
2024/5/18, 46, 15, 37, 1, 1, 
2024/5/19, 49, 19, 37, 2, 1, 
2024/5/20, 39, 23, 39, 5, 2, 
2024/5/21, 45, 22, 45, 5, 1, 
2024/5/22, 33, 21, 39, 2, 2, 
2024/5/23, 39, 21, 35, 2, 2, 
2024/5/24, 49, 11, 36, 1, 2, 
2024/5/25, 38, , 38, 1, 2, 
2024/5/27, 52, 16, 32, 2, 1, 
2024/5/28, 40, 25, 33, 7, 2, 
2024/5/29, 52, 25, 37, 5, 1, 
2024/5/30, 48, 14, 31, 4, 2, 
2024/5/31, 40, 11, 38, 2, 2, 
2024/6/1, 38, 11, 38, 2, 2, 
2024/6/2, 34, 15, 34, 3, 2, 
2024/6/3, 38, 20, 31, 7, 2, 
2024/6/4, 39, 19, 36, 4, 2, 
2024/6/5, 44, 20, 34, 4, 2, 
2024/6/6, 47, 29, 40, 7, 2, 
2024/6/7, 42, 26, 43, 2, 2, 
2024/6/8, 49, 12, 38, 2, 2, 
2024/6/9, 35, 16, 27, 6, 2, 
2024/6/10, 42, 15, 26, 4, 2, 
2024/6/11, 51, 13, 18, 5, 3, 
2024/6/12, 45, 13, 34, 4, 2, 
2024/6/13, 42, 22, 34, 7, 2, 
2024/6/14, 57, 16, 35, 4, 2, 
2024/6/15, 47, 13, 29, , 2, 
2024/6/16, 44, 20, 30, 2, 2, 
