date, pm25, pm10, o3, no2, so2, co
2024/11/1, 23, 6, 22, 4, 1, 
2024/11/2, 28, 9, 27, 3, 1, 
2024/11/3, 38, 7, 23, 6, 1, 
2024/11/4, 32, 17, 16, 10, 1, 
2024/11/5, 61, 16, 20, 10, 1, 
2024/11/6, 59, 11, 24, 11, 1, 
2024/11/7, 44, 10, 16, 14, 1, 
2024/11/8, 40, 12, 14, 11, 1, 
2024/11/9, 49, 9, 20, 10, 1, 
2024/11/10, 31, 7, 14, 15, 1, 
2024/11/11, 22, 9, 26, 11, 1, 
2024/11/12, 23, 3, 24, 7, , 
2024/11/13, 13, 7, 25, 4, , 
2024/11/14, 30, 7, 23, 11, 1, 
2024/11/15, 28, 9, 22, 11, 1, 
2024/11/16, 37, 9, 14, 10, 1, 
2024/11/17, 34, 12, 10, 12, 1, 
2024/11/18, 46, 12, 16, 9, 1, 
2024/11/19, 41, 12, 20, 4, , 
2024/11/20, 30, 9, 24, 4, 1, 
2024/11/21, 15, 3, 24, 10, 1, 
2024/11/22, 12, 5, 22, 8, 1, 
2024/11/23, 21, 7, 26, 8, 1, 
2024/11/24, 30, 14, 13, 14, 1, 
2024/11/25, 52, 8, 19, 13, 1, 
2024/11/26, 27, 26, 15, 15, 1, 
2024/11/27, 77, 34, 19, 12, 1, 
2024/11/28, 96, 29, 7, 12, 1, 
2024/11/29, 92, 41, 22, 12, 1, 
2024/11/30, 118, 39, 22, 9, 1, 
2024/12/1, 112, 44, 4, 15, 2, 
2024/12/2, 117, 22, 19, 12, 1, 
2024/12/3, 70, 17, 17, 13, 1, 
2024/12/4, 55, 16, 11, 19, 1, 
2024/12/5, 43, 9, 28, 8, 1, 
2024/12/6, 29, 9, 39, 5, 1, 
2024/12/7, 27, 7, 43, 2, 1, 
2024/12/8, 12, 5, 33, 5, 1, 
2024/12/9, 10, 12, 28, 13, 1, 
2024/12/10, 35, 7, 19, 8, , 
2024/12/11, 27, 12, 13, 11, 1, 
2024/12/12, 45, 19, 15, 13, 1, 
2024/12/13, 63, 12, 16, 9, 1, 
2024/12/14, 41, 11, 16, 9, 2, 
2024/12/15, 32, 12, 17, 12, 2, 
2024/12/16, 38, 16, 14, 13, 1, 
2024/12/17, 50, 28, 17, 17, 2, 
2024/12/18, 68, 38, 24, 6, 1, 
2024/12/19, 58, 12, 23, 12, 1, 
2024/12/20, 29, 13, 17, 12, 1, 
2024/12/21, 38, 11, 18, 7, 1, 
2024/12/22, 30, 51, 29, 4, 1, 
2024/12/23, 52, 57, 12, 9, 10, 
2024/12/24, 98, 26, 17, 3, 7, 
2024/12/25, 62, 42, 11, 7, 2, 
2024/12/26, 76, 15, 7, 8, 3, 
2024/12/27, 48, 13, 16, 3, 3, 
2024/12/28, 42, 12, 10, 5, 3, 
2024/12/29, 39, , , , , 
2024/7/1, 45, 11, 38, 7, 1, 
2024/7/2, 40, 20, 35, 7, 1, 
2024/7/3, 61, 18, 36, 7, 1, 
2024/7/4, 58, 18, 30, 7, 1, 
2024/7/5, 60, 16, 33, 5, 1, 
2024/7/6, 58, 13, 30, 5, 1, 
2024/7/7, 53, 16, 28, 6, 1, 
2024/7/8, 58, 19, 31, 6, 1, 
2024/7/9, 66, 24, 35, 8, 1, 
2024/7/10, 75, 39, 31, 6, 1, 
2024/7/11, 111, 35, 34, 5, 1, 
2024/7/12, 101, 24, 43, 3, 1, 
2024/7/13, 76, 24, 37, 4, 1, 
2024/7/14, 74, 39, 45, 7, 1, 
2024/7/15, 108, 44, 25, 5, , 
2024/7/16, 129, , , , , 
2024/7/18, 59, 28, 15, 6, , 
2024/7/19, 95, , , , , 
2024/7/22, 102, 12, 5, 8, 1, 
2024/7/23, 51, 8, 4, 4, 2, 
2024/7/24, 34, , , , , 
2024/7/26, 19, , , , , 
2024/7/30, 40, 17, 34, 5, 2, 
2024/7/31, 38, 13, 34, 3, 2, 
2024/8/1, 46, 15, 38, 2, 2, 
2024/8/2, 56, , , , , 
